Description,Filename,Original URL
"Ceramic;Ceramic - Architessa","ceramic-ceramic-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/233593929889.webp?v=1711373768"
"Encaustic Look;Encaustic Look - Architessa","encaustic-look-encaustic-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/encaustic_florence.jpg?v=1711373771"
"Porcelain;A bathroom with blue Currents tiles installed","porcelain-a-bathroom-with-blue-currents-tiles-installed.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/233768976545.webp?v=1682366478"
"Pattern;Pattern - Architessa","pattern-pattern-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/pattern_braga.jpg?v=1711373775"
"Stone Look;Stone Look - Architessa","stone-look-stone-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/stone_look_currents.jpg?v=1711373779"
"Dimensional & 3D;Dimensional & 3D - Architessa","dimensional-3d-dimensional-3d-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/3d_boho.jpg?v=1711373771"
"Wood Look;Wood Look - Architessa","wood-look-wood-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/wood_look_love_affairs.jpg?v=1711373783"
"Subway Tile;Subway Tile - Architessa","subway-tile-subway-tile-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/subway_hustle.jpg?v=1711373779"
"Just In;Just In - Architessa","just-in-just-in-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Just_in_Cache.png?v=1738594519"
"New Arrivals;New for 2024 - Architessa","new-arrivals-new-for-2024-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/new_for_2023_-_meriba.png?v=1711373765"
"Coastal;Coastal - Architessa","coastal-coastal-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Coastal_prime_blue.jpg?v=1711373766"
"Contemporary;Contemporary - Architessa","contemporary-contemporary-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/1bc9a7f25abd2400a98328e2585184f0.jpg?v=1711373771"
"Industrial;Industrial - Architessa","industrial-industrial-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Industrial_diesel_industrial_glass.jpg?v=1711373771"
"Global Fusion;Global Fusion - Architessa","global-fusion-global-fusion-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Global_Fusion_Palms_Midnight_Matte_KitchenBacksplash.jpg?v=1711373771"
"Mediterranean;Mediterranean - Architessa","mediterranean-mediterranean-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mediterranean_taza_biscuit_matt_tan_matt.jpg?v=1711373775"
"Mid-Century Modern;Mid-Century Modern - Architessa","mid-century-modern-mid-century-modern-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/mid-century_modern_baywood.png?v=1711373775"
"Minimalist;Minimalist - Architessa","minimalist-minimalist-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/illusion_install_4_900x_fddcec30-7b26-4832-bd44-78127e167211.webp?v=1711373775"
"Modern;Modern - Architessa","modern-modern-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/modern_diesel_fence.jpg?v=1711373775"
"Outdoor Tile;Outdoor Tile - Architessa","outdoor-tile-outdoor-tile-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8a44f6a61ab95eb3879a7b68945666eb.jpg?v=1711373775"
"Traditional;Traditional - Architessa","traditional-traditional-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/traditional_prime.jpg?v=1711373783"
"Transitional;Transitional - Architessa","transitional-transitional-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/transitional_terra_rones.jpg?v=1711373783"
"Retro & Vintage;Retro & Vintage - Architessa","retro-vintage-retro-vintage-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/retro_flora_cement.jpg?v=1711373779"
"Directional;Directional - Architessa","directional-directional-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/directional_genesis.jpg?v=1711373771"
"Field Tile;","field-tile.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/metal_matrix_install_gun_metal_floor.jpg?v=1742388249"
"Mosaic;Mosaic - Architessa","mosaic-mosaic-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8bcd28584f8d30c1e198f1def4bbcd10.png?v=1711373775"
