Image URL,Image Title,Image Caption
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/233593929889.webp?v=1711373768,Ceramic,Ceramic - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/encaustic_florence.jpg?v=1711373771,Encaustic Look,Encaustic Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/233768976545.webp?v=1682366478,Porcelain,A bathroom with blue Currents tiles installed
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/pattern_braga.jpg?v=1711373775,Pattern,Pattern - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/stone_look_currents.jpg?v=1711373779,Stone Look,Stone Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/3d_boho.jpg?v=1711373771,Dimensional & 3D,Dimensional & 3D - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/wood_look_love_affairs.jpg?v=1711373783,Wood Look,Wood Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/subway_hustle.jpg?v=1711373779,Subway Tile,Subway Tile - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Just_in_Cache.png?v=1738594519,Just In,Just In - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/new_for_2023_-_meriba.png?v=1711373765,New Arrivals,New for 2024 - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Coastal_prime_blue.jpg?v=1711373766,Coastal,Coastal - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/1bc9a7f25abd2400a98328e2585184f0.jpg?v=1711373771,Contemporary,Contemporary - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Industrial_diesel_industrial_glass.jpg?v=1711373771,Industrial,Industrial - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Global_Fusion_Palms_Midnight_Matte_KitchenBacksplash.jpg?v=1711373771,Global Fusion,Global Fusion - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mediterranean_taza_biscuit_matt_tan_matt.jpg?v=1711373775,Mediterranean,Mediterranean - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/mid-century_modern_baywood.png?v=1711373775,Mid-Century Modern,Mid-Century Modern - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/illusion_install_4_900x_fddcec30-7b26-4832-bd44-78127e167211.webp?v=1711373775,Minimalist,Minimalist - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/modern_diesel_fence.jpg?v=1711373775,Modern,Modern - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8a44f6a61ab95eb3879a7b68945666eb.jpg?v=1711373775,Outdoor Tile,Outdoor Tile - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/traditional_prime.jpg?v=1711373783,Traditional,Traditional - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/transitional_terra_rones.jpg?v=1711373783,Transitional,Transitional - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/retro_flora_cement.jpg?v=1711373779,Retro & Vintage,Retro & Vintage - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/directional_genesis.jpg?v=1711373771,Directional,Directional - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/metal_matrix_install_gun_metal_floor.jpg?v=1742388249,Field Tile,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8bcd28584f8d30c1e198f1def4bbcd10.png?v=1711373775,Mosaic,Mosaic - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/White.png?v=1711373783,White,White - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Grey.png?v=1711373771,Grey,Grey - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Red.png?v=1711373779,Red,Red - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Blue.png?v=1711373766,Blue,Blue - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Yellow.png?v=1711373783,Yellow,Yellow - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/strand-ash-10074.jpg?v=1729529280,Concrete Look,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/farmhouse_Wow_love_affairs.jpg?v=1711373771,Farmhouse,Farmhouse - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/kaleidoscope_cube_web.jpg?v=1742390663,Waterjet,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/travertine_fr20.jpg?v=1711373783,Travertine Look,Travertine Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Backsplash_Tile_-_Overlook.png?v=1711373766,Backsplash,Backsplash - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/seton_petrolio_amaranto.png?v=1742390927,Resin,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Luna-Splitface-and-Stone-Tiles-web.jpg?v=1729529434,Textured Look,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/atlas_slate_black_nat_mosaico_particolare_bagno.jpg?v=1742389701,Slate Look,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/marble_look_art_house_rel.jpg?v=1711373775,Marble Look,Marble Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Metallic_05067d27-8f4c-4ed9-be03-19198fe80960.png?v=1711373775,Metallic Look,Metallic Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/monochromatic_hustle_hex.jpg?v=1711373775,Monochromatic,Monochromatic - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/limestone_entrada.jpg?v=1711373775,Limestone & Sandstone Look,Limestone & Sandstone Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/install_Tuxedo_Park_Bugle_Blue_Blend_Mosaic_Bathroom_Shower_Hillsdale_NY_1000x_1080x_ac751582-010a-456b-a09f-f516e3832249.webp?v=1711373771,Glass Tile,Glass Tile - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mediterranean_taza_biscuit_matt_tan_matt_cde10615-9281-4ec3-b502-6195917b6c8f.jpg?v=1711373783,Terracotta & Cotto Look,Terracotta & Cotto Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/fabric_crash.jpg?v=1711373771,Fabric,Fabric - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/brickworld_soho_cotto_cafe_close_up.jpg?v=1729528227,Brick Look,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/235262509217.webp?v=1711373775,Natural Stone,Natural Stone - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/guimardbath.webp?v=1729529334,Polished,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Gamut.png?v=1742389896,Paint,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Exterior_Tile_-_Bluestone.png?v=1711373771,Exterior,Exterior - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Fireplace_Surround_-_Globe.png?v=1711373771,Fireplace Surround,Fireplace Surround - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Kitchen.jpg?v=1729527823,Kitchen,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Kitchen_Floor_Tile_-_Jetty.png?v=1711373771,Kitchen Floor,Kitchen Floor - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/7ff542a32d1de5fe007f4f9882b13d83.png?v=1711373775,Pavers,Pavers - Architessa
